reference,created_time,updated_time,name
XHGYEFBk,2024-09-05T12:31:49.269105Z,2024-09-05T12:31:49.269105Z,Ethereum - 0xe3442b4c64cb1637ccb7824a84503e0429bfe3c4
GLvzedNi,2024-09-05T12:31:49.269105Z,2024-09-05T12:31:49.269105Z,Telegram - Wallet Earn
ekrV3GbM,2024-09-05T12:31:49.269105Z,2024-09-05T12:31:49.269105Z,Bybit - 主帳戶
W3Lz4U2i,2024-09-05T12:31:49.269105Z,2024-09-05T12:31:49.269105Z,OKX - 子帳戶 gocreating3
w9KXfqC6,2024-09-05T12:31:49.269105Z,2024-09-05T12:31:49.269105Z,OKX - 主帳戶
BKugABq9,2024-09-05T12:31:49.269105Z,2024-09-05T12:31:49.269105Z,行動支付 - Line iPass Money
yy7yR7mw,2024-09-05T12:31:49.269105Z,2024-09-05T12:31:49.269105Z,行動支付 - 街利存帳戶
nNMBYWD3,2024-09-05T12:31:49.269105Z,2024-09-05T12:31:49.269105Z,行動支付 - 街口帳戶
Bs36Lr9f,2024-09-05T12:31:49.269105Z,2024-09-05T12:31:49.269105Z,渣打 - 房貸帳戶
FXSs9CVf,2024-09-05T12:31:49.269105Z,2024-09-05T12:31:49.269105Z,渣打 - 活存帳戶
SZjph9v8,2024-09-05T12:31:49.269105Z,2024-09-05T12:31:49.269105Z,永豐 - 證券帳戶
xDSpGPK7,2024-09-05T12:31:49.269105Z,2024-09-05T12:31:49.269105Z,永豐 - 活存暨交割帳戶
26CACQcy,2024-09-05T12:31:49.269105Z,2024-09-05T12:31:49.269105Z,將來 - 將將卡
tQqodHcm,2024-09-05T12:31:49.269105Z,2024-09-05T12:31:49.269105Z,將來 - 活存帳戶
hWeU9mSG,2024-09-05T12:31:49.269105Z,2024-09-05T12:31:49.269105Z,台新 Richart - GoGo悠遊御璽卡
TA23Za6E,2024-09-05T12:31:49.269105Z,2024-09-05T12:31:49.269105Z,台新 Richart - 活存帳戶
efpmBxpS,2024-10-04T13:54:23.395477Z,2024-10-04T13:54:23.395477Z,元大 - 活存帳戶
pnGtRFkA,2024-10-04T14:17:25.541111Z,2024-10-04T14:18:05.029157Z,OKX - 子帳戶 gocreating4
xa3Y4mos,2024-09-05T12:31:49.269105Z,2024-12-08T07:09:34.800467Z,國泰 - 證券帳戶
FowrhphW,2024-09-05T12:31:49.269105Z,2024-12-08T07:09:52.027884Z,國泰 - 活存帳戶
afXaDo5U,2024-12-08T03:50:48.567657Z,2024-12-08T07:10:22.644866Z,國泰 - 證券帳戶（出借中）
uHAYzo9i,2024-09-05T12:31:49.269105Z,2024-12-08T07:18:36.425751Z,國泰 - 交割帳戶
oo3dKjpa,2024-09-05T12:31:49.269105Z,2024-12-08T07:18:45.341232Z,國泰 - 外幣帳戶
cHd76DUN,2024-09-05T12:31:49.269105Z,2024-12-08T07:18:56.086508Z,國泰 - CUBE COMBO 鈦金商務卡 MasterCard
WeVFcpFj,2025-01-05T15:09:00.873544Z,2025-01-05T15:09:00.873544Z,BitoPro
2QPjQx6A,2025-02-08T04:17:45.849688Z,2025-02-08T04:17:45.849688Z,Bitfinex - 主帳戶
