reference ,created_time                ,updated_time                ,account_reference ,amount   ,settled_time

VGohMuuR  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,W3Lz4U2i          ,2030     ,2024-05-07T08:00:00Z
YWXnrh9P  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,w9KXfqC6          ,599      ,2024-05-07T08:00:00Z
sJMtfjdh  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,XHGYEFBk          ,278      ,2024-05-07T08:00:00Z
CfiLWp7N  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,GLvzedNi          ,706.86   ,2024-05-07T08:00:00Z
wkfHtELw  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,BKugABq9          ,12912    ,2024-05-07T08:00:00Z
L53NuJq4  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,yy7yR7mw          ,48094    ,2024-05-07T08:00:00Z
s3uyAdqm  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,Bs36Lr9f          ,-4579639 ,2024-05-07T08:00:00Z
45nzJv7F  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,FXSs9CVf          ,1373892  ,2024-05-07T08:00:00Z
dizjCeur  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,xDSpGPK7          ,200012   ,2024-05-07T08:00:00Z
vnL7ATjX  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,tQqodHcm          ,85678    ,2024-05-07T08:00:00Z
Ln4N72tk  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,TA23Za6E          ,62616    ,2024-05-07T08:00:00Z
4UBwuuqq  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,xa3Y4mos          ,1549760  ,2024-05-07T08:00:00Z
8DD7PnaS  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,oo3dKjpa          ,9173     ,2024-05-07T08:00:00Z
