reference,created_time,updated_time,name,opened_time,closed_time,ecosystem_type,settlement_asset_reference
xa3Y4mos,2024-09-05T12:31:49.269105Z,2024-12-08T07:09:34.800467Z,國泰 - 證券帳戶,2024-05-01T00:00:00Z,,TRAD_FI,yRLSZ6Vt
FowrhphW,2024-09-05T12:31:49.269105Z,2024-12-08T07:09:52.027884Z,國泰 - 活存帳戶,2024-05-01T00:00:00Z,,TRAD_FI,yRLSZ6Vt
afXaDo5U,2024-12-08T03:50:48.567657Z,2024-12-08T07:10:22.644866Z,國泰 - 證券帳戶（出借中）,2024-05-01T00:00:00Z,,TRAD_FI,yRLSZ6Vt
uHAYzo9i,2024-09-05T12:31:49.269105Z,2024-12-08T07:18:36.425751Z,國泰 - 交割帳戶,2024-05-01T00:00:00Z,,TRAD_FI,yRLSZ6Vt
oo3dKjpa,2024-09-05T12:31:49.269105Z,2024-12-08T07:18:45.341232Z,國泰 - 外幣帳戶,2024-05-01T00:00:00Z,,TRAD_FI,yRLSZ6Vt
cHd76DUN,2024-09-05T12:31:49.269105Z,2024-12-08T07:18:56.086508Z,國泰 - CUBE COMBO 鈦金商務卡 MasterCard,2024-05-01T00:00:00Z,,TRAD_FI,yRLSZ6Vt
Bs36Lr9f,2024-09-05T12:31:49.269105Z,2024-09-05T12:31:49.269105Z,渣打 - 房貸帳戶,2024-05-01T00:00:00Z,,TRAD_FI,yRLSZ6Vt
FXSs9CVf,2024-09-05T12:31:49.269105Z,2024-09-05T12:31:49.269105Z,渣打 - 活存帳戶,2024-05-01T00:00:00Z,,TRAD_FI,yRLSZ6Vt
SZjph9v8,2024-09-05T12:31:49.269105Z,2024-09-05T12:31:49.269105Z,永豐 - 證券帳戶,2024-05-01T00:00:00Z,,TRAD_FI,yRLSZ6Vt
xDSpGPK7,2024-09-05T12:31:49.269105Z,2024-09-05T12:31:49.269105Z,永豐 - 活存暨交割帳戶,2024-05-01T00:00:00Z,,TRAD_FI,yRLSZ6Vt
26CACQcy,2024-09-05T12:31:49.269105Z,2024-09-05T12:31:49.269105Z,將來 - 將將卡,2024-05-01T00:00:00Z,,TRAD_FI,yRLSZ6Vt
tQqodHcm,2024-09-05T12:31:49.269105Z,2024-09-05T12:31:49.269105Z,將來 - 活存帳戶,2024-05-01T00:00:00Z,,TRAD_FI,yRLSZ6Vt
hWeU9mSG,2024-09-05T12:31:49.269105Z,2025-03-05T15:05:06Z,台新 Richart - GoGo悠遊御璽卡,2024-05-01T00:00:00Z,2024-11-30T00:00:00Z,TRAD_FI,yRLSZ6Vt
TA23Za6E,2024-09-05T12:31:49.269105Z,2024-09-05T12:31:49.269105Z,台新 Richart - 活存帳戶,2024-05-01T00:00:00Z,,TRAD_FI,yRLSZ6Vt
efpmBxpS,2024-10-04T13:54:23.395477Z,2024-10-04T13:54:23.395477Z,元大 - 活存帳戶,2024-05-01T00:00:00Z,,TRAD_FI,yRLSZ6Vt
BKugABq9,2024-09-05T12:31:49.269105Z,2024-09-05T12:31:49.269105Z,行動支付 - Line iPass Money,2024-05-01T00:00:00Z,,TRAD_FI,yRLSZ6Vt
yy7yR7mw,2024-09-05T12:31:49.269105Z,2024-09-05T12:31:49.269105Z,行動支付 - 街利存帳戶,2024-05-01T00:00:00Z,,TRAD_FI,yRLSZ6Vt
nNMBYWD3,2024-09-05T12:31:49.269105Z,2024-09-05T12:31:49.269105Z,行動支付 - 街口帳戶,2024-05-01T00:00:00Z,,TRAD_FI,yRLSZ6Vt
WeVFcpFj,2025-01-05T15:09:00.873544Z,2025-01-05T15:09:00.873544Z,BitoPro,2024-05-01T00:00:00Z,,TRAD_FI,yRLSZ6Vt
2QPjQx6A,2025-02-08T04:17:45.849688Z,2025-02-08T04:17:45.849688Z,Bitfinex - 主帳戶,2024-05-01T00:00:00Z,,TRAD_FI,VVrWhwsU
XHGYEFBk,2024-09-05T12:31:49.269105Z,2025-03-05T15:00:38Z,Ethereum - 0xe344...e3c4,2024-05-01T00:00:00Z,,TRAD_FI,VVrWhwsU
GLvzedNi,2024-09-05T12:31:49.269105Z,2025-03-05T14:58:35Z,Telegram - Wallet Earn,2024-05-01T00:00:00Z,2024-07-31T00:00:00Z,TRAD_FI,VVrWhwsU
ekrV3GbM,2024-09-05T12:31:49.269105Z,2024-09-05T12:31:49.269105Z,Bybit - 主帳戶,2024-05-01T00:00:00Z,,TRAD_FI,VVrWhwsU
w9KXfqC6,2024-09-05T12:31:49.269105Z,2024-09-05T12:31:49.269105Z,OKX - 主帳戶,2024-05-01T00:00:00Z,,TRAD_FI,VVrWhwsU
W3Lz4U2i,2024-09-05T12:31:49.269105Z,2024-09-05T12:31:49.269105Z,OKX - 子帳戶 gocreating3,2024-05-01T00:00:00Z,,TRAD_FI,VVrWhwsU
pnGtRFkA,2024-10-04T14:17:25.541111Z,2025-03-05T14:59:59Z,OKX - 子帳戶 gocreating4,2024-05-01T00:00:00Z,2024-12-31T00:00:00Z,TRAD_FI,VVrWhwsU
HipTAkxg,2025-03-05T15:01:40Z,2025-03-05T15:01:40Z,王道銀行,2025-03-01T00:00:00Z,,TRAD_FI,yRLSZ6Vt
x8Ejq3ms,2025-03-05T15:02:10Z,2025-03-05T15:02:10Z,聯邦銀行,2025-03-01T00:00:00Z,,TRAD_FI,yRLSZ6Vt
