OP,reference,created_time,updated_time,balance_sheet_reference,account_reference,amount
INSERT,VGohMuuR,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,dienToJp,W3Lz4U2i,203000
INSERT,YWXnrh9P,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,dienToJp,w9KXfqC6,59900
INSERT,sJMtfjdh,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,dienToJp,XHGYEFBk,27800
INSERT,CfiLWp7N,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,dienToJp,GLvzedNi,70686
INSERT,wkfHtELw,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,dienToJp,BKugABq9,12912
INSERT,L53NuJq4,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,dienToJp,yy7yR7mw,48094
INSERT,s3uyAdqm,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,dienToJp,Bs36Lr9f,-4579639
INSERT,45nzJv7F,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,dienToJp,FXSs9CVf,1373892
INSERT,dizjCeur,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,dienToJp,xDSpGPK7,200012
INSERT,vnL7ATjX,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,dienToJp,tQqodHcm,85678
INSERT,Ln4N72tk,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,dienToJp,TA23Za6E,62616
INSERT,4UBwuuqq,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,dienToJp,xa3Y4mos,1549760
INSERT,8DD7PnaS,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,dienToJp,oo3dKjpa,9173
INSERT,p9HRZFFy,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,dienToJp,uHAYzo9i,114420
INSERT,Uar2iGLp,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,dienToJp,FowrhphW,652358
INSERT,x9uW6vGy,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,nbnAySuF,W3Lz4U2i,204839
INSERT,YgzbUqDF,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,nbnAySuF,w9KXfqC6,74903
INSERT,hnWGRwUB,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,nbnAySuF,XHGYEFBk,33416
INSERT,E9B4c242,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,nbnAySuF,GLvzedNi,76157
INSERT,dbK7X9ne,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,nbnAySuF,BKugABq9,14494
INSERT,KN5Anfhx,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,nbnAySuF,yy7yR7mw,49679
INSERT,GC7SiLmA,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,nbnAySuF,nNMBYWD3,16565
INSERT,AbDy8JqC,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,nbnAySuF,Bs36Lr9f,-4566888
